,Location Name,Formal Name,Max Capacity,Accent Wall,Air Conditioner,Appliances Ceiling Fan,Bathroom,Bulletin Board,Carpet,Dobbs Ferry Classroom,Drawing Desks,Seating (mobile tablet arm chair desks),Blackboard (chalkboard),Cabinets,Individual Desks,Instructor's Podium,Instructor's Table,Mobile Furniture,Seating (basic tablet arm chair desks),Seating (mobile tablet arm chair desks w/ underseat storage),Seating (office chair),Seating (theatre style),Seating (triangular desks),Table (Physical Therapy),Table (Shared Long Tables),Whiteboard,Whiteboard (mobile),Honors,Lab Computer,Lab Smart Math,Lighting Dimmer Switch,MHLH Auditorium Pref,No Windows,Paper Towel Dispenser,Piano,Receptacles/Power Outlets,Safety Fire Extinguisher,Safety Hand Sanitizer (wipes/gel),Shades (blackout shades ideal for films),Shades/Blinds (basic),Sink,Sound Proof (ideal for film and music classes),Stage,Storage Room/Closet,AV Smart/Aquos Board,AV Space,Active Learning Classroom,Anatomage Table with wallmounted digital display,Cinema AutoScreen,Cinema Quality Projector,Cinema Quality Space (ideal for film classes),Computer Stations,Computers (MAC computers),Computers (laptops),Echo360,HDMI Connection,Lecture Capture,Level 2,Level 3,Mircrophones & Speech Reinforcement,Printer,Projector (Interactive Touch Technology),Projector (basic),Projector (laser),Projector Screen,Software Available: Tableau,Speakers,TV (multipanel),TV / DVD,TV / DVD (mobile),Video Conference Capabilities,Wireless Connection Pods,Zoom Software Installed,Telephone (standard),Thermostat,Unit Ventilator,Wall Clock analog/digital
2,MAIN_HALL MH111,Dobbs Ferry Main Hall Classroom MH111,36.00,,,,,,1.00,1.00,,,,,,1.00,1.00,1.00,,,,,,,18.00,1.00,1.00,,,,,,,,,48.00,,,,6.00,,,,,1.00,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,,,,,,1.00,,3.00,
3,MAIN_HALL MH113,Dobbs Ferry Main Hall Classroom MH113,36.00,,,,,,1.00,1.00,,,,3.00,,1.00,1.00,1.00,,,,,,,18.00,1.00,1.00,,,,,,,,,46.00,,,,3.00,,,,,1.00,1.00,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,1.00,,,1.00,,,,1.00,,3.00,
4,MAIN_HALL MH200,Dobbs Ferry Main Hall Classroom MH200,15.00,1.00,,,,,1.00,1.00,,,,,15.00,1.00,1.00,1.00,,15.00,,,,,,1.00,,,,,,,,,,8.00,,,,3.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,1.00,,1.00,
5,MAIN_HALL MH201,Dobbs Ferry Main Hall Classroom MH201,20.00,,,,,1.00,1.00,1.00,,,,,20.00,1.00,1.00,1.00,,1.00,,,,,,1.00,,,,,,,,,,10.00,,,,3.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,2.00,,,,,,,1.00,,1.00,
6,MAIN_HALL MH202,Dobbs Ferry Main Hall Classroom MH202,24.00,1.00,,,,,1.00,1.00,,,,,24.00,1.00,1.00,,24.00,,,,,,,1.00,,,,,,,,,,16.00,,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,4.00,,,,,,,1.00,1.00,1.00,
7,MAIN_HALL MH203,Dobbs Ferry Main Hall Classroom MH203,20.00,,,,,,1.00,1.00,,,,,20.00,1.00,1.00,1.00,,20.00,,,,,,1.00,,,,,,,,,,10.00,,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,2.00,,,,,,,1.00,,1.00,
8,MAIN_HALL MH204,Dobbs Ferry Main Hall Classroom MH204,20.00,1.00,,,,,1.00,1.00,,,,,20.00,1.00,1.00,,20.00,,,,,,,1.00,,,,,,,,,,10.00,,,,4.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,4.00,,,,,,,1.00,1.00,1.00,
9,MAIN_HALL MH205,Dobbs Ferry Main Hall Classroom MH205,30.00,1.00,,,,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,,,30.00,,,,15.00,1.00,1.00,,,,,,,,,6.00,,,,3.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,2.00,,,,,,,1.00,,2.00,
10,MAIN_HALL MH206,Dobbs Ferry Main Hall Classroom MH206,18.00,1.00,,,,,1.00,1.00,,,,,18.00,1.00,1.00,1.00,,18.00,,,,,,1.00,,,,,,,,,,10.00,,,,3.00,,,,,,1.00,,,,,,,,,,,,1.00,,,,1.00,,,,,4.00,,,,,,,1.00,,1.00,
11,MAIN_HALL MH211,Dobbs Ferry Main Hall Classroom MH211,42.00,1.00,,,,,1.00,1.00,,,,12.00,,1.00,1.00,1.00,,,,,,,20.00,1.00,,,,,,,,,,14.00,,1.00,,6.00,,,,,,1.00,,,,,1.00,,,,1.00,1.00,1.00,1.00,,1.00,,1.00,,,1.00,,2.00,,,,,1.00,,1.00,,1.00,
